Linux 6.8.0-137-generic (dellr470) 	09/03/2026 	_x86_64_	(128 CPU)

12:02:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:02:52 PM  all   67.26    0.00    1.41    0.01    0.00    0.31    0.00    0.00    0.00   31.00
12:02:52 PM    0   96.61    0.00    2.79    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM    1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM    2   97.60    0.00    2.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM    4   97.20    0.00    2.40    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM    5   80.65    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   19.14
12:02:52 PM    6   96.80    0.00    2.80    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM    7   92.60    0.00    0.40    0.00    0.00    0.00    0.00    0.00    0.00    7.00
12:02:52 PM    8   96.60    0.00    2.80    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM    9   99.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.20
12:02:52 PM   10   97.20    0.00    2.40    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   11   85.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   14.40
12:02:52 PM   12   97.80    0.00    1.80    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   13   97.20    0.00    2.40    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   14   97.00    0.00    2.60    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   15  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   16   97.20    0.00    2.40    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   17  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   18   96.61    0.00    2.99    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   19   78.43    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00   21.17
12:02:52 PM   20   96.80    0.00    2.60    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   21  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   22   96.81    0.00    2.79    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   23   99.80    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   24   96.80    0.00    2.80    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   25   88.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   11.65
12:02:52 PM   26   97.20    0.00    2.40    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   27   96.40    0.00    3.00    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   28   96.00    0.00    3.40    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   29   96.80    0.00    2.80    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   30   96.40    0.00    2.80    0.00    0.00    0.80    0.00    0.00    0.00    0.00
12:02:52 PM   31   96.99    0.00    2.61    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   32  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   33  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   34  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   35  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   36   84.57    0.00    0.40    0.00    0.00    0.20    0.00    0.00    0.00   14.83
12:02:52 PM   37  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   38  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   39  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   40  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   41  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   42  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   43  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   44   95.58    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    4.42
12:02:52 PM   45   99.80    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.20
12:02:52 PM   46  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   47  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   48  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   49   99.40    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00    0.20
12:02:52 PM   50  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   51  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   52   97.19    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    2.61
12:02:52 PM   53  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   54  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   55  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   56   93.40    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00    6.40
12:02:52 PM   57  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   58  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   59  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   60   79.96    0.00    0.60    0.00    0.00    0.20    0.00    0.00    0.00   19.24
12:02:52 PM   61  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   62   86.35    0.00    0.60    0.00    0.00    0.00    0.00    0.00    0.00   13.05
12:02:52 PM   63  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:52 PM   64   97.00    0.00    2.60    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   65    2.03    0.00    2.44    0.00    0.00    0.81    0.00    0.00    0.00   94.72
12:02:52 PM   66   96.79    0.00    2.81    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   67    5.65    0.00    2.62    0.00    0.00    0.81    0.00    0.00    0.00   90.93
12:02:52 PM   68   96.40    0.00    3.00    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   69   81.76    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   18.24
12:02:52 PM   70   96.80    0.00    2.60    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   71    4.01    0.00    2.61    0.00    0.00    1.00    0.00    0.00    0.00   92.38
12:02:52 PM   72   96.80    0.00    2.60    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   73    3.03    0.00    2.02    0.00    0.00    0.61    0.00    0.00    0.00   94.34
12:02:52 PM   74   97.60    0.00    2.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   75   85.37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   14.63
12:02:52 PM   76   97.60    0.00    2.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   77   96.20    0.00    3.40    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   78   97.40    0.00    2.00    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   79    4.07    0.00    2.24    0.00    0.00    0.61    0.00    0.00    0.00   93.09
12:02:52 PM   80   97.60    0.00    1.80    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   81    3.61    0.00    1.41    0.20    0.00    0.60    0.00    0.00    0.00   94.18
12:02:52 PM   82   97.80    0.00    2.00    0.00    0.00    0.20    0.00    0.00    0.00    0.00
12:02:52 PM   83   76.91    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   22.89
12:02:52 PM   84   97.21    0.00    2.40    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   85    3.22    0.00    1.21    0.00    0.00    0.40    0.00    0.00    0.00   95.17
12:02:52 PM   86   97.00    0.00    2.40    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   87    3.60    0.00    1.40    0.20    0.00    0.80    0.00    0.00    0.00   94.00
12:02:52 PM   88   96.80    0.00    2.80    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   89   75.35    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00   24.25
12:02:52 PM   90   97.20    0.00    2.20    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   91   96.40    0.00    3.00    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   92   96.41    0.00    2.99    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   93   96.80    0.00    2.80    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   94   96.40    0.00    3.00    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:52 PM   95   97.41    0.00    2.20    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:52 PM   96    2.43    0.00    1.62    0.00    0.00    0.61    0.00    0.00    0.00   95.34
12:02:52 PM   97    2.83    0.00    1.41    0.00    0.00    0.40    0.00    0.00    0.00   95.35
12:02:52 PM   98    3.01    0.00    1.20    0.00    0.00    0.60    0.00    0.00    0.00   95.18
12:02:52 PM   99    3.21    0.00    2.00    0.00    0.00    0.60    0.00    0.00    0.00   94.19
12:02:52 PM  100    4.25    0.00    2.43    0.20    0.00    0.40    0.00    0.00    0.00   92.71
12:02:52 PM  101    2.01    0.00    1.21    0.00    0.00    0.60    0.00    0.00    0.00   96.18
12:02:52 PM  102    3.03    0.00    1.62    0.00    0.00    0.61    0.00    0.00    0.00   94.75
12:02:52 PM  103    3.02    0.00    1.61    0.00    0.00    0.40    0.00    0.00    0.00   94.97
12:02:52 PM  104    3.64    0.00    1.21    0.20    0.00    0.40    0.00    0.00    0.00   94.55
12:02:52 PM  105    4.82    0.00    3.01    0.00    0.00    0.60    0.00    0.00    0.00   91.57
12:02:52 PM  106    3.87    0.00    2.04    0.00    0.00    0.61    0.00    0.00    0.00   93.48
12:02:52 PM  107    4.03    0.00    3.02    0.00    0.00    0.60    0.00    0.00    0.00   92.34
12:02:52 PM  108    3.63    0.00    2.22    0.00    0.00    0.60    0.00    0.00    0.00   93.55
12:02:52 PM  109    2.63    0.00    1.62    0.00    0.00    0.20    0.00    0.00    0.00   95.56
12:02:52 PM  110    2.82    0.00    1.21    0.20    0.00    0.20    0.00    0.00    0.00   95.56
12:02:52 PM  111    2.41    0.00    1.41    0.00    0.00    0.60    0.00    0.00    0.00   95.57
12:02:52 PM  112    4.04    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   94.55
12:02:52 PM  113    4.82    0.00    1.61    0.00    0.00    0.40    0.00    0.00    0.00   93.17
12:02:52 PM  114    2.41    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   95.98
12:02:52 PM  115    1.81    0.00    0.81    0.00    0.00    0.20    0.00    0.00    0.00   97.18
12:02:52 PM  116    2.64    0.00    1.42    0.00    0.00    0.41    0.00    0.00    0.00   95.54
12:02:52 PM  117    3.21    0.00    1.40    0.00    0.00    0.40    0.00    0.00    0.00   94.99
12:02:52 PM  118    3.22    0.00    1.21    0.00    0.00    0.20    0.00    0.00    0.00   95.37
12:02:52 PM  119    2.01    0.00    1.61    0.00    0.00    0.60    0.00    0.00    0.00   95.77
12:02:52 PM  120    2.22    0.00    1.41    0.00    0.00    0.40    0.00    0.00    0.00   95.96
12:02:52 PM  121    3.22    0.00    1.01    0.00    0.00    0.20    0.00    0.00    0.00   95.57
12:02:52 PM  122    1.41    0.00    1.20    0.00    0.00    0.40    0.00    0.00    0.00   96.99
12:02:52 PM  123    2.22    0.00    1.81    0.00    0.00    0.40    0.00    0.00    0.00   95.56
12:02:52 PM  124    4.44    0.00    3.63    0.00    0.00    0.60    0.00    0.00    0.00   91.33
12:02:52 PM  125    3.61    0.00    2.00    0.20    0.00    0.60    0.00    0.00    0.00   93.59
12:02:52 PM  126    5.63    0.00    3.82    0.00    0.00    0.40    0.00    0.00    0.00   90.14
12:02:52 PM  127    4.46    0.00    3.04    0.00    0.00    0.61    0.00    0.00    0.00   91.89

12:02:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:02:57 PM  all   67.43    0.00    1.66    0.01    0.00    0.33    0.00    0.00    0.00   30.58
12:02:57 PM    0   95.59    0.00    4.01    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:57 PM    1  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:57 PM    2   97.21    0.00    2.20    0.00    0.00    0.60    0.00    0.00    0.00    0.00
12:02:57 PM    3  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:57 PM    4   96.41    0.00    3.19    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:57 PM    5   81.78    0.00    0.20    0.00    0.00    0.20    0.00    0.00    0.00   17.81
12:02:57 PM    6   97.20    0.00    2.40    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:57 PM    7  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:57 PM    8   97.60    0.00    2.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:57 PM    9  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:02:57 PM   10   95.60    0.00    4.00    0.00    0.00    0.40    0.00    0.00    0.00    0.00
12:02:57 PM   11   80.92    0.00    0.20    0.00    0.00    0.00    0.00    0.00    0.00   18.88
12:02:57 PM   12   96.39    0.00    3.01    0.00    0.00    0.60    0.00    0.00    0.00    0.00
