Linux 6.8.0-137-generic (dellr470) 	09/03/2026 	_x86_64_	(128 CPU)

06:59:25 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:59:30 PM   59  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:59:30 PM   60  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:59:30 PM   61   33.40    0.00    3.85    0.00    0.00    0.20    0.00    0.00    0.00   62.55
06:59:30 PM   62   47.79    0.00    4.22    0.00    0.00    0.00    0.00    0.00    0.00   47.99
06:59:30 PM   63  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
06:59:30 PM   64   39.15    0.00    2.43    0.00    0.00    0.20    0.00    0.00    0.00   58.22
06:59:30 PM   65   54.22    0.00    4.02    0.00    0.00    0.20    0.00    0.00    0.00   41.57
06:59:30 PM   66   53.61    0.00    6.43    0.00    0.00    0.20    0.00    0.00    0.00   39.76
06:59:30 PM   67   32.26    0.00    4.23    0.00    0.00    0.20    0.00    0.00    0.00   63.31
06:59:30 PM   68   69.62    0.00    6.64    0.00    0.00    0.20    0.00    0.00    0.00   23.54
06:59:30 PM   69   58.35    0.00    6.04    0.00    0.00    0.40    0.00    0.00    0.00   35.21
06:59:30 PM   70   52.01    0.00    3.61    0.00    0.00    0.00    0.00    0.00    0.00   44.38
06:59:30 PM   71   34.95    0.00    4.85    0.00    0.00    0.20    0.00    0.00    0.00   60.00
06:59:30 PM   72   57.52    0.00    3.81    0.00    0.00    0.20    0.00    0.00    0.00   38.48
06:59:30 PM   73   73.79    0.00    5.44    0.00    0.00    0.00    0.00    0.00    0.00   20.77
06:59:30 PM   74   37.93    0.00    5.88    0.00    0.00    0.20    0.00    0.00    0.00   55.98
06:59:30 PM   75   74.04    0.00    7.44    0.00    0.00    0.00    0.00    0.00    0.00   18.51
06:59:30 PM   76   29.72    0.00    2.81    0.00    0.00    0.20    0.00    0.00    0.00   67.27
06:59:30 PM   77   59.72    0.00    5.01    0.00    0.00    0.20    0.00    0.00    0.00   35.07
06:59:30 PM   78   50.50    0.00    3.82    0.00    0.00    0.00    0.00    0.00    0.00   45.67
06:59:30 PM   79   46.59    0.00    5.82    0.00    0.00    0.20    0.00    0.00    0.00   47.39
06:59:30 PM   80   41.33    0.00    3.63    0.00    0.00    0.20    0.00    0.00    0.00   54.84
06:59:30 PM   81   70.62    0.00    6.64    0.00    0.00    0.00    0.00    0.00    0.00   22.74
06:59:30 PM   82   79.16    0.00    6.01    0.00    0.00    0.00    0.00    0.00    0.00   14.83
