Linux 6.8.0-137-generic (dellr470) 	09/03/2026 	_x86_64_	(128 CPU)

05:01:23 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:01:33 PM   59   98.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.40
05:01:33 PM   60   98.60    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.40
05:01:33 PM   61   44.91    0.00    4.53    0.00    0.00    0.00    0.00    0.00    0.00   50.55
05:01:33 PM   62   19.09    0.00    2.83    0.00    0.00    0.20    0.00    0.00    0.00   77.88
05:01:33 PM   63   43.03    0.00    0.80    0.00    0.00    0.10    0.00    0.00    0.00   56.07
05:01:33 PM   64   36.04    0.00    3.71    0.00    0.00    0.20    0.00    0.00    0.00   60.04
05:01:33 PM   65   27.88    0.00    3.03    0.00    0.00    0.20    0.00    0.00    0.00   68.89
05:01:33 PM   66   16.46    0.00    2.12    0.00    0.00    0.10    0.00    0.00    0.00   81.31
05:01:33 PM   67   17.66    0.00    2.83    0.00    0.00    0.20    0.00    0.00    0.00   79.31
05:01:33 PM   68   26.21    0.00    2.12    0.00    0.00    0.10    0.00    0.00    0.00   71.57
05:01:33 PM   69   19.13    0.00    3.02    0.00    0.00    0.20    0.00    0.00    0.00   77.64
05:01:33 PM   70   18.28    0.00    3.94    0.00    0.00    0.00    0.00    0.00    0.00   77.78
05:01:33 PM   71   36.04    0.00    3.31    0.00    0.00    0.10    0.00    0.00    0.00   60.54
05:01:33 PM   72   20.04    0.00    2.63    0.00    0.00    0.20    0.00    0.00    0.00   77.13
05:01:33 PM   73   15.02    0.00    1.21    0.00    0.00    0.00    0.00    0.00    0.00   83.77
05:01:33 PM   74   19.11    0.00    3.03    0.00    0.00    0.20    0.00    0.00    0.00   77.65
05:01:33 PM   75   27.26    0.00    2.72    0.00    0.00    0.00    0.00    0.00    0.00   70.02
05:01:33 PM   76   31.66    0.00    2.61    0.00    0.00    0.20    0.00    0.00    0.00   65.53
05:01:33 PM   77   27.06    0.00    2.92    0.00    0.00    0.20    0.00    0.00    0.00   69.82
05:01:33 PM   78   31.89    0.00    2.92    0.00    0.00    0.20    0.00    0.00    0.00   64.99
05:01:33 PM   79   31.63    0.00    3.92    0.00    0.00    0.20    0.00    0.00    0.00   64.26
05:01:33 PM   80   40.99    0.00    4.03    0.00    0.00    0.10    0.00    0.00    0.00   54.88
05:01:33 PM   81   24.07    0.00    2.82    0.00    0.00    0.20    0.00    0.00    0.00   72.91
05:01:33 PM   82   24.52    0.00    2.83    0.00    0.00    0.20    0.00    0.00    0.00   72.45
05:01:33 PM   83   29.65    0.00    3.22    0.00    0.00    0.20    0.00    0.00    0.00   66.93
05:01:33 PM   84   31.34    0.00    4.77    0.00    0.00    0.20    0.00    0.00    0.00   63.69
